ID,Nombre,Tipo,Objetivo,Precondiciones,Datos de entrada,Pasos de ejecucion,Resultado esperado,Resultado obtenido,Estado,Evidencia,Responsable,Incidencia/Retorno
TC-CON-001,Comando tracert al repositorio,Conectividad,Verificar ruta de red hacia GitHub o servicio remoto,"Conexion a internet disponible","github.com","Ejecutar tracert github.com en PowerShell","Debe mostrar saltos de red o resolucion del host","Pendiente por ejecutar","Pendiente","Pantallazo de tracert pendiente",Diego,"Si falla reportar conectividad"
TC-REN-001,Rendimiento entrenamiento modelo,Rendimiento,Validar que entrenamiento finalice y exporte modelo,"Dataset disponible; .venv activo","python ai/scripts/entrenar_modelo_dinamico.py","Ejecutar entrenamiento; revisar salidas","Debe generar modelo, labels, reporte y matriz","Modelo exportado; accuracy 86.61%","Aprobada","ai/models/modelo_dinamico_metadata.json",Diego,"Si falla revisar dataset/dependencias"
TC-CARGA-001,Prueba de carga JMeter 50 usuarios,Carga,Evaluar API local bajo concurrencia,"Servidor activo; JMeter instalado","50 usuarios; 120 s; GET/POST","Abrir plan JMeter; ejecutar; revisar Summary Report","Error bajo; servicio estable; respuestas medibles","1552 muestras; 0.13% error; 38.9/min","Aprobada","docs/PRUEBAS_CARGA_JMETER.md; backend/jmeter/summary.csv",Diego,"Si falla crear defecto backend/rendimiento"
TC-COMP-001,Compatibilidad en dispositivo Android,Compatibilidad,Validar APK en dispositivo real,"Dispositivo TECNO KG5k conectado","APK debug","Ejecutar gradlew installDebug; abrir app","APK se instala y abre en Android 11","Instalado correctamente en TECNO KG5k","Aprobada","Salida Gradle; APK debug",Diego,"Si falla revisar minSdk/permisos"
TC-COMP-002,Compatibilidad script Python en Windows,Compatibilidad,Validar ejecucion de script de modelo en PC,"Windows; .venv activo; camara disponible","python ai/scripts/usar_modelo_dinamico.py --camara 1 --debug","Ejecutar script; hacer senas; observar resultados","Debe abrir camara y mostrar predicciones/debug","Script funciona mejor que app; usado como referencia","Aprobada","Video o captura pendiente",Diego,"Si falla revisar OpenCV/camara"
TC-SEG-001,Revision de secretos y archivos sensibles,Seguridad basica,Verificar que no se publiquen claves o datos sensibles,"Repositorio local disponible",".env; .gitignore; archivos de config","Revisar .gitignore; buscar .env o claves","No deben subirse secretos ni credenciales","Existe .env.example y .gitignore","Aprobada",".gitignore; .env.example",Diego,"Si aparece secreto remover y rotar"
TC-SEG-002,Permisos de camara,Seguridad basica,Validar uso minimo de permisos en Android,"Codigo Android disponible","AndroidManifest.xml","Revisar permisos declarados","Solo permisos necesarios para camara/audio si aplica","Pendiente de revision detallada","Pendiente","Captura/codigo Manifest pendiente",Diego,"Si hay permisos excesivos crear bug"
TC-IA-001,Reporte de clasificacion modelo dinamico,IA / Calidad del modelo,Validar metricas de reconocimiento con datos de prueba,"Modelo entrenado","Dataset dinamico","Ejecutar entrenamiento; revisar classification_report","Debe generar accuracy, precision, recall y f1-score","Accuracy 86.61%; reporte generado","Aprobada","ai/models/reporte_clasificacion_dinamico.txt",Diego,"Si metrica baja crear tarea de dataset"
TC-IA-002,Matriz de confusion modelo dinamico,IA / Calidad del modelo,Identificar clases confundidas,"Modelo entrenado","matriz_confusion_dinamico.csv","Revisar matriz y clases con bajo recall","Debe permitir detectar clases debiles","Matriz generada; clases debiles identificadas","Aprobada","ai/models/matriz_confusion_dinamico.csv",Diego,"Clases debiles vuelven al backlog"
TC-EXP-002,Exploracion app vs script,Exploratoria,Comparar resultados de app Android contra script Python,"APK instalado; script funcional","Mismas senas probadas en ambos","Ejecutar script; probar sena; abrir app; repetir sena","Resultados deberian ser coherentes","Se detecto diferencia; se ajusto luminancia YUV en Android","En Proceso","Video comparativo pendiente",Diego,"Si persiste crear bug de preprocesamiento"
TC-USAB-002,Tiempo de lectura del resultado,Usabilidad,Verificar que la traduccion permanezca visible,"App instalada","Sena reconocida","Hacer sena y esperar","Resultado debe quedar visible algunos segundos","Resultado sostenido implementado 4.5 s","Aprobada","MainActivity.kt",Diego,"Si desaparece rapido ajustar hold"
